tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,tous,1920 the origin,eau de toilette,58.0,76.5,31.95,4.5,12.0
druni,hombre,guess,guess effect,eau de toilette,47.0,76.0,39.95,5.0,1.0
druni,hombre,pepe jeans,estuche sobold,eau de parfum,50.0,80.0,39.95,,
druni,hombre,hollister,wave x,eau de toilette,55.0,62.0,27.95,,
druni,hombre,coach,coach open road,eau de toilette,53.0,96.0,44.95,5.0,2.0
druni,hombre,hollister,canyon escape for him,eau de toilette,56.0,72.0,31.95,5.0,1.0
druni,hombre,police,to be good vibes man,eau de toilette,58.0,48.0,19.95,5.0,1.0
druni,hombre,hollister,festival nite for him,eau de toilette,56.0,72.0,31.95,5.0,3.0
druni,hombre,cartier,déclaration,eau de parfum,31.0,137.0,94.95,4.1,17.0
druni,hombre,police,estuche to be good vibes man,eau de toilette,49.0,45.0,22.95,,
druni,hombre,pedro del hierro,cofre homme,eau de toilette,31.0,58.0,39.9,,
druni,hombre,armani,code,parfum,47.0,95.0,49.95,4.85,67.0
druni,hombre,halloween,cofre halloween man x,eau de toilette,45.0,73.0,39.95,4.75,4.0
druni,hombre,bvlgari,wood essence,eau de parfum,35.0,100.0,64.95,4.55,15.0
druni,hombre,halloween,halloween man x,eau de toilette,51.0,73.0,35.95,4.75,30.0
druni,hombre,montblanc,legend,eau de parfum,45.0,72.0,39.95,4.3,19.0
druni,hombre,yves saint laurent,y men,eau de toilette,50.0,90.0,44.95,5.0,14.0
druni,hombre,kenzo,kenzo homme,eau de parfum,44.0,80.5,44.95,4.9,10.0
druni,hombre,jimmy choo,jimmy choo man aqua,eau de toilette,55.0,70.0,31.5,4.65,3.0
druni,hombre,ralph lauren,polo blue parfum,eau de parfum,50.0,90.0,44.95,5.0,3.0
druni,hombre,diesel,d by diesel,eau de toilette,51.0,72.0,34.95,4.85,12.0
druni,hombre,hermès,h24,eau de parfum,30.0,98.0,68.95,5.0,1.0
druni,hombre,ralph lauren,ralph's club,parfum,52.0,95.0,45.95,,
druni,hombre,hugo boss,hugo jeans,eau de toilette,56.0,80.0,34.95,,
druni,hombre,dolce & gabbana,light blue pour homme summer vibes,eau de toilette,41.0,90.0,52.95,,
druni,hombre,jean paul gaultier,le male elixir,eau de parfum,34.0,96.0,62.95,4.5,2.0
druni,hombre,prada,luna rossa ocean,eau de parfum,44.0,94.0,52.95,,
druni,hombre,armani,acqua di gio parfum refill,eau de parfum,43.0,140.0,79.95,,
druni,hombre,kenzo,homme marine,eau de toilette,47.0,75.0,39.95,,
druni,hombre,yves saint laurent,opium pour homme,eau de toilette,44.0,115.0,64.95,4.65,20.0
druni,hombre,azzaro,wanted by night,eau de parfum,47.0,75.0,39.95,4.85,109.0
druni,hombre,armani,stronger with you intensely,eau de parfum,51.0,89.0,43.95,4.9,81.0
druni,hombre,dior,sauvage,eau de toilette,25.0,80.56,60.25,5.0,11.0
druni,hombre,biotherm,homme aquafitness,eau de toilette,47.0,52.0,27.75,4.7,14.0
druni,hombre,hugo boss,boss night,eau de toilette,49.0,69.0,34.95,4.7,24.0
druni,hombre,carolina herrera,estuche men privé,eau de toilette,36.0,93.0,59.95,5.0,2.0
druni,hombre,versace,estuche eros,eau de toilette,40.0,109.0,64.95,4.4,54.0
druni,hombre,hugo boss,boss the scent absolute him,eau de parfum,52.0,124.0,58.95,4.7,26.0
druni,hombre,montblanc,cofre montblanc legend spirit,eau de toilette,50.0,99.0,49.95,4.65,6.0
druni,hombre,bvlgari,cofre man wood essence,eau de parfum,44.0,142.0,79.95,5.0,2.0
druni,hombre,cartier,cofre declaracion,eau de toilette,30.0,109.0,75.95,5.0,2.0
druni,hombre,burberry,classic men,eau de toilette,68.0,93.0,29.95,4.55,65.0
druni,hombre,jean paul gaultier,estuche le male,eau de parfum,35.0,116.5,75.95,4.85,24.0
druni,hombre,viktor & rolf,spicebomb infrared,eau de toilette,47.0,100.0,52.95,5.0,6.0
druni,hombre,hermès,estuche terre d' hermès,eau de parfum,33.0,157.0,104.95,4.8,11.0
druni,hombre,diesel,sound of the brave,eau de toilette,52.0,93.0,44.95,4.9,9.0
druni,hombre,carolina herrera,cofre bad boy eau parfum,eau de parfum,35.0,116.0,74.95,4.5,4.0
druni,hombre,loewe,cofre 7 loewe cobalt,eau de parfum,35.0,123.0,79.95,5.0,2.0
druni,hombre,davidoff,cofre cool water men,eau de toilette,49.0,58.85,29.95,5.0,2.0
druni,hombre,dolce & gabbana,estuche k by dolce & gabanna,eau de parfum,48.0,124.0,64.95,4.2,5.0
druni,hombre,paco rabanne,estuche one million elixir,eau de parfum,38.0,126.5,77.95,,
druni,hombre,armani,cofre armani code new,eau de toilette,40.0,100.0,59.95,4.5,2.0
druni,hombre,yves saint laurent,cofre y men,parfum,40.0,136.0,81.95,,
druni,hombre,givenchy,cofre gentleman reserve privee,eau de parfum,45.0,127.0,69.95,,
druni,hombre,armani,acqua di gio parfum,parfum,44.0,115.0,63.95,5.0,3.0
druni,hombre,hermès,cofre terre eau de givree,eau de parfum,33.0,141.0,94.95,,
druni,hombre,f1 fragrances,estuche carbon reign,eau de toilette,53.0,75.0,34.95,,
druni,hombre,montblanc,estuche montblanc explorer,eau de parfum,46.0,106.0,56.9,4.25,33.0
druni,hombre,yves saint laurent,estuche y men,eau de parfum,52.0,146.0,69.95,4.3,33.0
druni,hombre,dolce & gabbana,estuche d&g the one for men,eau de toilette,45.0,110.0,59.95,4.1,25.0
druni,hombre,ralph lauren,estuche polo blue,eau de toilette,49.0,112.0,56.95,4.7,27.0
druni,hombre,montblanc,estuche legend,eau de toilette,50.0,99.0,49.95,4.75,12.0
druni,hombre,paco rabanne,estuche one million,eau de toilette,36.0,85.5,54.95,4.4,29.0
druni,hombre,montblanc,estuche explorer ultra blue,eau de parfum,46.0,106.0,56.9,5.0,7.0
druni,hombre,police,cofre born to shine,eau de toilette,52.0,48.0,22.95,4.5,2.0
druni,hombre,tommy hilfiger,cofre tommy men,eau de toilette,49.0,78.0,39.95,5.0,1.0
druni,mujer,calvin klein,ck one,eau de toilette,72.0,76.0,21.25,4.8,1005.0
druni,mujer,calvin klein,ck in2u woman,eau de toilette,76.0,76.0,18.45,4.75,418.0
druni,mujer,britney spears,fantasy,eau de parfum,12.0,27.9,24.5,4.75,302.0
druni,mujer,calvin klein,euphoria,eau de parfum,64.0,69.0,24.95,4.8,423.0
druni,mujer,halloween,halloween,eau de toilette,57.0,34.5,14.95,4.8,321.0
druni,mujer,armani,sì,eau de parfum,54.0,82.0,37.95,4.8,124.0
druni,mujer,lancome,idôle le parfum,eau de parfum,52.0,70.0,33.5,4.8,283.0
druni,mujer,dkny,dkny women,eau de parfum,47.0,57.0,29.95,4.85,491.0
druni,mujer,rochas,estuche eau de rochas,eau de toilette,58.0,95.0,39.9,4.8,368.0
druni,mujer,sisley,eau du soir,eau de parfum,30.0,122.5,85.95,4.8,34.0
druni,mujer,calvin klein,eternity,eau de parfum,69.0,91.0,27.95,4.75,266.0
druni,mujer,tous,estuche baby tous,eau de toilette,45.0,72.5,39.95,4.85,94.0
druni,mujer,lancome,la vie est belle,eau de parfum,33.0,37.0,24.95,4.8,461.0
druni,mujer,paco rabanne,olympea,eau de parfum,52.0,67.0,31.95,4.6,143.0
druni,mujer,carolina herrera,212,eau de toilette,48.0,58.0,29.95,4.85,209.0
druni,mujer,carolina herrera,ch good girl,eau de parfum,30.0,70.0,48.95,4.7,163.0
druni,mujer,narciso rodriguez,estuche for her,eau de parfum,43.0,140.0,79.95,5.0,1.0
